Week Ending,Excess Death Rate
"Sept. 14, 1918",17
"Sept. 21, 1918",19
"Sept. 28, 1918",60
,
"Oct. 5, 1918",87
"Oct. 12, 1918",493
"Oct. 19, 1918",1169
"Oct. 26, 1918",1477
,
"Nov. 2, 1918",1627
"Nov. 9, 1918",1419
"Nov. 16, 1918",1399
"Nov. 23, 1918",1123
"Nov. 30, 1918",1416
,
"Dec. 7, 1918",2362
"Dec. 14, 1918",2988
"Dec. 21, 1918",1757
"Dec. 28, 1918",605
,
"Jan. 4, 1919",155
"Jan. 11, 1919",253
"Jan. 18, 1919",195
"Jan. 25, 1919",173
,
"Feb. 1, 1919",211
"Feb. 8, 1919",83
"Feb. 15, 1919",181
"Feb. 22, 1919",192
,
"Mar. 1, 1919",304
"Mar. 8, 1919",379
"Mar. 15, 1919",548
"Mar. 22, 1919",549
"Mar. 29, 1919",276
,
"Apr. 5, 1919",138
"Apr. 12, 1919",183
"Apr. 19, 1919",79
"Apr. 26, 1919",77
,
"May 3, 1919",1
"May 10, 1919",-23
"May 17, 1919",-27
"May 24, 1919",-15
"May 31, 1919",-1
