ori,year,state,state_abb,incident_number,incident_date,ucr_offense_code,offense_attempted_or_completed,offender_suspected_of_using_1,offender_suspected_of_using_2,offender_suspected_of_using_3,location_type,number_of_premises_entered,method_of_entry,type_criminal_activity_1,type_criminal_activity_2,type_criminal_activity_3,type_weapon_force_involved_1,automatic_weapon_indicator_1,type_weapon_force_involved_2,automatic_weapon_indicator_2,type_weapon_force_involved_3,automatic_weapon_indicator_3,bias_motivation,unique_incident_id
AL0011200,2017,alabama,al,2w1npu7zs20w,2017-03-09,assault offenses - intimidation,completed,not applicable,,,church/synagogue/temple/mosque,,,none/unknown gang involvement (mutually exclusive),,,,,,,,,anti-islamic (muslim),2017 al0011200 2w1npu7zs20w
CO0010100,2017,colorado,co,7v-iyd1wtu72,2017-02-27,assault offenses - intimidation,completed,not applicable,,,residence/home,,,,,,,,,,,,anti-islamic (muslim),2017 co0010100 7v-iyd1wtu72
CO0010600,2017,colorado,co,euczfo8n2oyo,2017-06-18,assault offenses - aggravated assault,completed,not applicable,,,church/synagogue/temple/mosque,,,,,,"knife/cutting instrument (knives, razors, hatchets, axes, cleavers, scissors, glass, broken bottles, ice picks, etc.)",,,,,,anti-islamic (muslim),2017 co0010600 euczfo8n2oyo
CO0070000,2017,colorado,co,8c0brvs-f28n,2017-01-05,assault offenses - intimidation,completed,computer equipment/handheld device,,,church/synagogue/temple/mosque,,,none/unknown gang involvement (mutually exclusive),,,,,,,,,anti-islamic (muslim),2017 co0070000 8c0brvs-f28n
CO0350000,2017,colorado,co,8c0brymvv28n,2017-04-21,assault offenses - intimidation,completed,not applicable,,,other/unknown,,,none/unknown gang involvement (mutually exclusive),,,,,,,,,anti-islamic (muslim),2017 co0350000 8c0brymvv28n
CODPD0000,2017,colorado,co,7v-iybrw5mgu,2017-01-30,assault offenses - intimidation,completed,not applicable,,,restaurant,,,,,,,,,,,,anti-islamic (muslim),2017 codpd0000 7v-iybrw5mgu
CT0009300,2017,connecticut,ct,8c01kcel728n,2017-04-27,assault offenses - simple assault,completed,not applicable,,,drug store/doctors office/hospital,,,,,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 ct0009300 8c01kcel728n
CT0009300,2017,connecticut,ct,8c0v-ver728n,2017-09-28,assault offenses - simple assault,completed,not applicable,,,park/playground,,,,,,"other (bb guns, pellet guns, tasers, pepper spray, stun guns, deadly/dangerous/communicable diseases, etc.)",,,,,,anti-islamic (muslim),2017 ct0009300 8c0v-ver728n
CT0014400,2017,connecticut,ct,8c0brvsdtu8n,2017-01-13,assault offenses - simple assault,completed,not applicable,,,department/discount store,,,,,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 ct0014400 8c0brvsdtu8n
DE0011800,2017,delaware,de,9x1npkxzsy1a,2017-08-11,assault offenses - aggravated assault,completed,not applicable,,,highway/road/alley/street/sidewalk,,,none/unknown gang involvement (mutually exclusive),,,"other (bb guns, pellet guns, tasers, pepper spray, stun guns, deadly/dangerous/communicable diseases, etc.)",,,,,,anti-islamic (muslim),2017 de0011800 9x1npkxzsy1a
DE0021700,2017,delaware,de,3g1npuf3s71a,2017-01-31,extortion/blackmail,completed,not applicable,,,school - college/university,,,,,,none (mutually exclusive),,,,,,anti-islamic (muslim),2017 de0021700 3g1npuf3s71a
DE302SP00,2017,delaware,de,081np6o2jx1a,2017-04-25,assault offenses - intimidation,completed,not applicable,,,residence/home,,,none/unknown gang involvement (mutually exclusive),,,,,,,,,anti-islamic (muslim),2017 de302sp00 081np6o2jx1a
ID0010100,2017,idaho,id,2w1npuk27y6d,2017-02-15,assault offenses - intimidation,completed,not applicable,,,residence/home,,,,,,,,,,,,anti-islamic (muslim),2017 id0010100 2w1npuk27y6d
ID0010100,2017,idaho,id,2w1npuk3870i,2017-04-27,assault offenses - simple assault,completed,not applicable,,,highway/road/alley/street/sidewalk,,,,,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 id0010100 2w1npuk3870i
ID0010100,2017,idaho,id,2w1npuk3z2to,2017-07-27,assault offenses - aggravated assault,completed,not applicable,,,residence/home,,,,,,handgun,,,,,,anti-islamic (muslim),2017 id0010100 2w1npuk3z2to
ID0010100,2017,idaho,id,2w1npuk3zl i,2017-07-24,assault offenses - aggravated assault,completed,not applicable,,,highway/road/alley/street/sidewalk,,,,,,firearm (type not stated),,,,,,anti-islamic (muslim),2017 id0010100 2w1npuk3zl i
ID0030200,2017,idaho,id,en-n73u4kaem,2017-01-22,assault offenses - simple assault,completed,not applicable,,,department/discount store,,,,,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 id0030200 en-n73u4kaem
ID0140200,2017,idaho,id,l37p2o1sk-f3,2017-07-03,assault offenses - simple assault,completed,not applicable,,,jail/prison/penitentiary/corrections facility,,,,,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 id0140200 l37p2o1sk-f3
ID0280000,2017,idaho,id,en-5xlu41aem,2017-07-27,destruction/damage/vandalism of property,completed,not applicable,,,parking lot/drop lot/parking garage,,,,,,,,,,,,anti-islamic (muslim),2017 id0280000 en-5xlu41aem
ID0420200,2017,idaho,id,8c0b0cmd728n,2017-10-28,assault offenses - intimidation,completed,not applicable,,,parking lot/drop lot/parking garage,,,none/unknown gang involvement (mutually exclusive),,,,,,,,,anti-islamic (muslim),2017 id0420200 8c0b0cmd728n
ID0420200,2017,idaho,id,8c0bamq9728n,2017-05-18,assault offenses - simple assault,completed,alcohol,,,residence/home,,,none/unknown gang involvement (mutually exclusive),,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 id0420200 8c0bamq9728n
KS0290000,2017,kansas,ks,h31ufze04bsc,2017-11-23,assault offenses - intimidation,completed,alcohol,,,residence/home,,,,,,,,,,,,anti-islamic (muslim),2017 ks0290000 h31ufze04bsc
KS0810000,2017,kansas,ks,w -zlqia30w5,2017-09-24,assault offenses - intimidation,completed,alcohol,,,highway/road/alley/street/sidewalk,,,,,,,,,,,,anti-islamic (muslim),2017 ks0810000 w -zlqia30w5
KS0870300,2017,kansas,ks,8ccbaesmf28n,2017-03-01,assault offenses - simple assault,completed,not applicable,,,convenience store,,,,,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 ks0870300 8ccbaesmf28n
KY0340200,2017,kentucky,ky,866xvbrmf39g,2017-11-27,assault offenses - intimidation,completed,not applicable,,,auto dealership new/used,,,none/unknown gang involvement (mutually exclusive),,,,,,,,,anti-islamic (muslim),2017 ky0340200 866xvbrmf39g
MA0091100,2017,massachusetts,ma,8c0bebrd728n,2017-12-20,assault offenses - simple assault,completed,not applicable,,,highway/road/alley/street/sidewalk,,,none/unknown gang involvement (mutually exclusive),,,none (mutually exclusive),,,,,,anti-islamic (muslim),2017 ma0091100 8c0bebrd728n
MA0093900,2017,massachusetts,ma,8c0die3q728n,2017-12-03,assault offenses - aggravated assault,completed,not applicable,,,highway/road/alley/street/sidewalk,,,,,,none (mutually exclusive),,,,,,anti-islamic (muslim),2017 ma0093900 8c0die3q728n
MA0130400,2017,massachusetts,ma,w -bxv2az-x5,2017-06-24,assault offenses - simple assault,completed,not applicable,,,hotel/motel/etc.,,,,,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 ma0130400 w -bxv2az-x5
MA013309E,2017,massachusetts,ma,8c0gicb-728n,2017-10-27,assault offenses - intimidation,completed,not applicable,,,school - college/university,,,,,,,,,,,,anti-islamic (muslim),2017 ma013309e 8c0gicb-728n
MA0146000,2017,massachusetts,ma,2w1npu7pjn0w,2017-04-11,burglary/breaking and entering,attempted,not applicable,,,church/synagogue/temple/mosque,,force,,,,,,,,,,anti-islamic (muslim),2017 ma0146000 2w1npu7pjn0w
MD0160400,2017,maryland,md,8c0b-asc728n,2017-01-26,larceny/theft offenses - all other larceny,completed,not applicable,,,residence/home,,,,,,,,,,,,anti-islamic (muslim),2017 md0160400 8c0b-asc728n
MD0160400,2017,maryland,md,8c0vaf5rg28n,2017-08-13,assault offenses - simple assault,completed,not applicable,,,highway/road/alley/street/sidewalk,,,none/unknown gang involvement (mutually exclusive),,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 md0160400 8c0vaf5rg28n
MD0160400,2017,maryland,md,8c0vkwqv-28n,2017-07-01,destruction/damage/vandalism of property,completed,not applicable,,,residence/home,,,,,,,,,,,,anti-islamic (muslim),2017 md0160400 8c0vkwqv-28n
ME0060100,2017,maine,me,hy-qisz-x5hp,2017-03-23,assault offenses - simple assault,completed,not applicable,,,school/college,,,,,,"personal weapons (hands, fist, feet, arms, teeth, etc.)",,,,,,anti-islamic (muslim),2017 me0060100 hy-qisz-x5hp
