"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","1999","293","4430143","6.61","6.5499049296279"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2000","294","4451687","6.6","6.57457465950465"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2001","302","4467634","6.76","6.76891609290988"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2002","292","4480089","6.52","6.506214921523"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2003","322","4503491","7.15","7.16171868970181"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2004","262","4530729","5.78","5.86848249136819"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2005","319","4569805","6.98","7.12724555650515"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2006","333","4628981","7.19","7.26790040149066"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2007","378","4672840","8.09","8.246300106139"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2008","349","4718206","7.4","7.59472555770352"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2009","317","4757938","6.66","6.84262268991331"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2010","283","4780125","5.92","5.97226118119415"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2011","292","4799069","6.08","6.20917065136669"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2012","306","4815588","6.35","6.53432722219247"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2013","317","4830081","6.56","6.85341265399653"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2014","292","4841799","6.03","6.37321043242478"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2015","391","4852347","8.06","8.44421245988129"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2016","454","4863525","9.33","9.7927295899652"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2017","506","4874486","10.38","10.9213459655517"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2018","468","4887681","9.58","10.0715256002433"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","2019","486","4903185","9.91","10.6464424706824"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2019","Homicide Firearm","","7256","98659429","7.35","."
