"","INC_voteshare","BJP_voteshare","COUNT_1yr","INJURED_1yr","election","DISTRICT_ID_61"
"13",0.367705832633981,0.0104246585924311,0.1991,1.5928,"1967","1"
"15",0.390284510435802,0.00206921186215969,0,0,"1969","1"
"17",0.254065623460195,0.000202765287874672,1,4,"1971","1"
"18",0.465156237840318,0.000252580071295845,0,0,"1972","1"
"23",0.214176060655133,0,0,0,"1977","1"
"28",0.335525285092098,0.00120392675898754,0,0,"1982","1"
"33",0.419615670703319,0.000906278357033156,0.1991,0,"1987","1"
"37",0.372029164088771,0.109119408123801,1,6,"1991","1"
"42",0.421201700180793,0.0521020827334524,0,0,"1996","1"
"47",0.018553686132659,0.0391628112000681,0,0,"2001","1"
"67",0.495802593945754,0.0630378726317608,0,0,"1967","2"
"72",0.635446809859569,0.084371504521762,0,0,"1972","2"
"78",0.319823546187655,0,0,0,"1978","2"
"83",0.365564102847094,0.0300252739854537,0,0,"1983","2"
"85",0.311429567667031,0,0,0,"1985","2"
"90",0.4419622896191,0,0,0,"1989","2"
"95",0.246701804061686,0.0464403332776859,0,0,"1994","2"
"99",0.381033242106467,0,0,0,"1999","2"
"121",0.273995350381933,0.194808120711388,0,0,"1967","3"
"123",0.326888508197414,0.146380156548658,0,0,"1969","3"
"128",0.386020125299623,0.164731203591376,0,0,"1974","3"
"131",0.358894417162057,0,0,0,"1977","3"
"134",0.395577626077684,0.119473205267322,0,0,"1980","3"
"139",0.399356670596721,0.116730510323101,0,0,"1985","3"
"144",0.30233158659441,0.143806421847779,0,0,"1989","3"
"145",0.161964755706692,0.344040872751389,2,3,"1991","3"
"148",0.142537581048435,0.370854614284401,0,0,"1993","3"
"151",0.101286778356424,0.326559357111262,0,0,"1996","3"
"175",0.411168951410999,0.0122953751304106,0,0,"1967","4"
"180",0.547018355197315,0.13107956440942,1,0,"1972","4"
"183",0.401435701867534,0.128689735105528,0,0,"1975","4"
"188",0.530578878453877,0.167575465605048,0,0,"1980","4"
"193",0.534832824019072,0.207045839731435,1,2,"1985","4"
"198",0.263629424733404,0.414387605016617,1,30,"1990","4"
"203",0.284819393865978,0.506638250191168,0,0,"1995","4"
"206",0.335684953270313,0.511076629276742,1,0,"1998","4"
"229",0.485192464441096,0.0424783788456721,0,0,"1967","5"
"234",0.530734329891097,0.0241885485618381,0,0,"1972","5"
"241",0.066018814026002,0,0,0,"1978","5"
"242",0.448860446975974,0.014241071537054,0,0,"1980","5"
"247",0.409065456776249,0,0,0,"1985","5"
"253",0.480429263525199,0.0989413484921947,0,0,"1990","5"
"257",0.41604508060193,0.0909546009389958,0,0,"1995","5"
"262",0.267679825623638,0.13201205564974,0,0,"1999","5"
"283",0.379257930047852,0.178567904888757,0,0,"1967","7"
"288",0.498614597808829,0.131391034367597,0,0,"1972","7"
"293",0.241411895816818,0,0,0,"1977","7"
