state,county,mil_age,veterans,suff65_yes,suff57_yes
IOWA,ADAIR,324,100,0.610619469026549,0.122950819672131
IOWA,ADAMS,504,169,0.644182124789207,0.0941176470588235
IOWA,ALLAMAKEE,3750,925,0.4979633401222,0.155306298533218
IOWA,APPANOOSE,3659,1169,0.475499092558984,0.0332980972515856
IOWA,AUDUBON,153,50,0.405940594059406,0.0405405405405405
IOWA,BENTON,2741,926,0.60707635009311,0.0950734658599827
IOWA,BLACK HAWK,2612,1276,0.674071908798597,0.0668296658516707
IOWA,BOONE,1313,236,0.515910055154858,0.0639204545454545
IOWA,BREMER,1592,376,0.656374501992032,0.198177676537585
IOWA,BUCHANAN,2504,736,0.63867047891351,0.246753246753247
IOWA,BUTLER,1171,475,0.632944228274968,0.224806201550388
IOWA,CALHOUN,49,45,0.555555555555556,0
IOWA,CARROLL,81,21,0.289915966386555,0.0222222222222222
IOWA,CASS,580,136,0.510479041916168,0
IOWA,CEDAR,4311,1090,0.56790444040509,0.187088274044796
IOWA,CERRO GORDO,322,149,0.750972762645914,0.373493975903614
IOWA,CHICKASAW,1309,296,0.575857519788918,0.132846715328467
IOWA,CLARKE,1690,608,0.583333333333333,0.0250297973778308
IOWA,CLAYTON,6786,1547,0.530939809926082,0.105705440070765
IOWA,CLINTON,6242,1787,0.511569506726457,0.131048387096774
IOWA,CRAWFORD,111,37,0.487730061349693,0.087719298245614
IOWA,DALLAS,1644,506,0.612255965292842,0.151732377538829
IOWA,DAVIS,4245,1098,0.435836177474403,0.0157657657657658
IOWA,DECATUR,2703,790,0.404015670910872,0.0233853006681515
IOWA,DELAWARE,3455,805,0.616366612111293,0.159693165969317
IOWA,DES MOINES,6191,2280,0.462251655629139,0.0608863198458574
IOWA,DUBUQUE,9658,2249,0.340868530636526,0.0281030444964871
IOWA,FAYETTE,3749,959,0.594015748031496,0.238636363636364
IOWA,FLOYD,1237,274,0.698101653398653,0.345098039215686
IOWA,FRANKLIN,424,189,0.787878787878788,0.120418848167539
IOWA,FREMONT,1760,451,0.385624089363769,0.0662768031189084
IOWA,GREENE,421,304,0.489296636085627,0.0157894736842105
IOWA,GRUNDY,275,41,0.770247933884298,0.241758241758242
IOWA,GUTHRIE,1012,288,0.523461939520334,0.185589519650655
IOWA,HAMILTON,555,180,0.678260869565217,0.170818505338078
IOWA,HARDIN,1707,499,0.667138142385667,0.0997652582159624
IOWA,HARRISON,1191,314,0.427283653846154,0.0179948586118252
IOWA,HENRY,5843,2064,0.579563182527301,0.112083105522143
IOWA,HOWARD,1017,250,0.586337760910816,0.158567774936061
IOWA,IOWA,2595,799,0.492087415222306,0.110985277463194
IOWA,JACKSON,5792,1500,0.430117873466442,0.0639324487334138
IOWA,JASPER,3138,1288,0.629620441577772,0.102522375915378
IOWA,JEFFERSON,4739,1321,0.528714107365793,0.155188679245283
IOWA,JOHNSON,5612,2187,0.439241395457738,0.060361216730038
IOWA,JONES,4314,1091,0.60699755899105,0.228149100257069
IOWA,KEOKUK,4194,1111,0.505085730892183,0.0949612403100775
IOWA,KOSSUTH,140,48,0.958563535911602,0.487804878048781
IOWA,LEE,9297,2735,0.390497520396737,0.0857480780603193
IOWA,LINN,6056,2147,0.645485584218513,0.23474801061008
IOWA,LOUISA,3386,1170,0.56906779661017,0.102476515798463
IOWA,MADISON,2207,846,0.535510204081633,0.0366900858704137
IOWA,MAHASKA,4661,1440,0.545345200866009,0.0695216907675195
IOWA,MARION,5109,1720,0.445094509450945,0.0107334525939177
IOWA,MARSHALL,1880,848,0.73728813559322,0.180045871559633
IOWA,MILLS,1537,401,0.490308686288586,0.0317195325542571
IOWA,MITCHELL,1195,291,0.70952380952381,0.513618677042802
IOWA,MONONA,284,63,0.558659217877095,0.136054421768708
IOWA,MONROE,2554,781,0.542896050839764,0.0490748189863234
IOWA,MONTGOMERY,424,94,0.524054982817869,0
IOWA,MUSCATINE,5419,2195,0.535601458080194,0.102863202545069
IOWA,PAGE,1467,457,0.546099290780142,0.1019955654102
IOWA,POLK,3650,1729,0.575862817451704,0.0325325325325325
IOWA,POTTAWATTAMIE,1652,509,0.393897364771151,0.0102639296187683
IOWA,POWESHIEK,1738,707,0.596689543802988,0.0640732265446224
IOWA,RINGGOLD,884,334,0.581185567010309,0.0300429184549356
IOWA,SAC,87,29,0.632768361581921,0.0454545454545455
IOWA,SCOTT,8492,2843,0.605581395348837,0.132906626506024
IOWA,SHELBY,253,50,0.414893617021277,0.0350877192982456
IOWA,STORY,1176,383,0.62525320729237,0.0203442879499218
IOWA,TAMA,1711,506,0.627296587926509,0.206140350877193
IOWA,TAYLOR,1144,316,0.599229287090559,0.0132275132275132
IOWA,UNION,620,198,0.503571428571429,0.0380952380952381
IOWA,VAN BUREN,5684,1436,0.46420704845815,0.0365758754863813
IOWA,WAPELLO,4494,1906,0.464467005076142,0.0361225422953818
IOWA,WARREN,3158,1148,0.57624175060785,0.0378421900161031
IOWA,WASHINGTON,4537,1588,0.57519934011548,0.21419185282523
IOWA,WEBSTER,797,346,0.536964980544747,0.155172413793103
IOWA,WINNESHIEK,4361,869,0.649174528301887,0.445246690734055
IOWA,WRIGHT,201,83,0.629139072847682,0.0900900900900901
WISCONSIN,ADAMS,1620,585,0.728956228956229,0.51528384279476
WISCONSIN,BROWN,2905,1244,0.29600626468285,0.124437781109445
WISCONSIN,BUFFALO,1120,608,0.675757575757576,0.226102941176471
WISCONSIN,CALUMET,2016,798,0.449856733524355,0.591019417475728
WISCONSIN,CHIPPEWA,751,434,0.410501193317422,0.128205128205128
WISCONSIN,CLARK,253,104,0.396551724137931,0.85
WISCONSIN,COLUMBIA,6604,2192,0.551735537190083,0.529665230361286
WISCONSIN,CRAWFORD,2122,1113,0.255767301905717,0.242811501597444
WISCONSIN,DANE,11649,4940,0.457471647765177,0.29176782167292
WISCONSIN,DODGE,11044,3173,0.379637331558809,0.347126436781609
WISCONSIN,DOOR,818,320,0.623955431754875,0.306666666666667
WISCONSIN,DOUGLAS,249,68,0.260416666666667,0.012987012987013
WISCONSIN,DUNN,1085,739,0.481418918918919,0.338624338624339
WISCONSIN,EAU CLAIRE,1191,497,0.458856345885635,0.193370165745856
WISCONSIN,FOND DU LAC,8768,3107,0.466588739528541,0.508693361433087
WISCONSIN,GRANT,8399,3410,0.513335245196444,0.154503105590062
WISCONSIN,GREEN,5263,1958,0.593163216177179,0.512144702842377
WISCONSIN,IOWA,4806,1611,0.368831168831169,0.249226963512678
WISCONSIN,JACKSON,1269,547,0.503322259136213,0.372307692307692
WISCONSIN,JEFFERSON,7395,3164,0.424092409240924,0.610719322990127
WISCONSIN,JUNEAU,2320,771,0.380368098159509,0.30880829015544
WISCONSIN,KENOSHA,3792,1352,0.612018288700196,0.514435695538058
WISCONSIN,KEWAUNEE,1564,508,0.158823529411765,0.025974025974026
WISCONSIN,LA CROSSE,3783,1490,0.46974697469747,0.381729200652529
WISCONSIN,LAFAYETTE,4784,1602,0.364942528735632,0.12888198757764
WISCONSIN,MANITOWOC,5369,1371,0.311967395331604,0.298735511064278
WISCONSIN,MARATHON,962,470,0.0544554455445545,0.0601503759398496
WISCONSIN,MARQUETTE,2092,565,0.359451518119491,0.453190676346962
WISCONSIN,MILWAUKEE,15717,6537,0.284998608405232,0.215394483643361
WISCONSIN,MONROE,2279,1098,0.522984676882079,0.512873326467559
WISCONSIN,OCONTO,1521,854,0.380610412926391,0.192090395480226
WISCONSIN,OUTAGAMIE,2585,1284,0.372037914691943,0.321389793702497
WISCONSIN,OZAUKEE,3553,873,0.109994711792702,0.11016393442623
WISCONSIN,PIERCE,1444,860,0.505277044854881,0.0588235294117647
WISCONSIN,POLK,410,437,0.562790697674419,0.120481927710843
WISCONSIN,PORTAGE,2079,705,0.421164021164021,0.146800501882058
WISCONSIN,RACINE,5393,2384,0.51880276285495,0.532010243277849
WISCONSIN,RICHLAND,2546,1283,0.381866313699537,0.283700440528634
WISCONSIN,ROCK,10347,3675,0.671021377672209,0.644880615135573
WISCONSIN,SAUK,4803,1343,0.623713646532439,0.578907435508346
WISCONSIN,SHAWANO,253,187,0.402439024390244,0.5
WISCONSIN,SHEBOYGAN,6299,1863,0.464110127826942,0.498374361356247
WISCONSIN,ST. CROIX,1546,915,0.582298136645963,0.28
WISCONSIN,TREMPEALEAU,770,394,0.778048780487805,0.711764705882353
WISCONSIN,WALWORTH,6915,2866,0.753318584070796,0.674688315453755
WISCONSIN,WASHINGTON,5472,1511,0.212941176470588,0.169779286926995
WISCONSIN,WAUKESHA,6951,2391,0.45798755186722,0.543665436654367
WISCONSIN,WAUPACA,2311,926,0.586161879895561,0.602629656683711
WISCONSIN,WAUSHARA,2262,763,0.664596273291926,0.705685618729097
WISCONSIN,WINNEBAGO,6302,2459,0.585243974132863,0.580683156654888
WISCONSIN,WOOD,907,322,0.303225806451613,0.181818181818182
