AGE,INCEARN,respondents
25,51521.43,14
26,58094.44,72
27,65353.28,137
28,71307.44,215
29,76421.92,225
30,88609.38,288
31,91982.02,250
32,103799.65,282
33,127328.57,273
34,150115.77,260
35,151026.92,260
36,153974.31,253
37,168892.1,253
38,170366.23,302
39,209646.79,280
40,196800,275
41,218548.41,283
42,205657.56,266
43,220168.81,282
44,207925.35,282
45,221765.4,291
46,208348.19,274
47,204253.63,245
48,211934.61,281
49,215129.09,263
50,225624.07,295
51,213455.44,309
52,215896.71,280
53,212901.25,306
54,215634.42,308
55,223755.18,284
56,223552.65,283
57,204465.55,272
58,220101.11,271
59,200053.61,241
60,205810.27,263
61,200586.3,239
62,211230.21,192
63,209813.1,187
64,185587.68,164
